GEO.id,GEO.id2,GEO.display-label,County,Municipality,Unemployment pct,Mean Travel Time,Walk to Work,Public Transit to Work,H.S. Diploma,Bachelors Degree,Graduate Degree,Median Home Value 2010,FoodDesert,school index,job access,house index,transit index,poverty rate pct,violent crime,property crime,all crime,EAV 2008,Regional EAV,EAV Difference,EAV Ratio
1400000US17031808702,17031808702,"Census Tract 8087.02, Cook County, Illinois",Cook,Evanston,3.1,12.4,73,7.8,3.3,17.6,64.1,187500,,8,10,10,9,0.000,213,"2,101","2,314","39,449","38,325","1,124",1.03
1400000US17097864107,17097863004,"Census Tract 8630.04, Lake County, Illinois",Lake,North Chicago,7.7,15.8,4.3,0.4,23.2,13.1,7.7,-,,1,9,1,8,0.00000000000,,,,"8,182","38,325","-30,143",0.21
1400000US17031320400,17031320400,"Census Tract 3204, Cook County, Illinois",Cook,Chicago city,9.7,18.6,63.9,0,9.6,25.1,41.4,433300,,6,10,3,10,0.000,"30,550","120,417","150,967","30,415","38,325","-7,910",0.79
1400000US17031081202,17031081202,"Census Tract 812.02, Cook County, Illinois",Cook,Chicago city,2.4,20,28.2,29.3,5.8,37.8,41.2,545900,,8,10,7,9,0.000,"30,550","120,163","150,713","30,161","38,325","-8,164",0.79
1400000US17031071000,17031071000,"Census Tract 710, Cook County, Illinois",Cook,Chicago city,8.4,21.4,30.2,33.9,1.2,45.9,46.7,617300,,7,6,9,9,0.000,"30,550","120,146","150,696","30,144","38,325","-8,181",0.79
1400000US17097861609,17097865200,"Census Tract 8652, Lake County, Illinois",Lake,Highland Park,5.1,22.1,8,9.5,27.4,16.5,13,447500,,10,6,10,9,0.00000000000,17,364,381,"93,422","38,325","55,097",2.44
1400000US17031081201,17031081201,"Census Tract 812.01, Cook County, Illinois",Cook,Chicago city,8.6,22.2,29.6,22,7.6,35.5,34.9,708600,,8,10,7,9,0.000,"30,550","120,162","150,712","30,160","38,325","-8,165",0.79
1400000US17031800800,17031800800,"Census Tract 8008, Cook County, Illinois",Cook,Northfield ,0.3,22.3,5.7,3.7,12.3,30.7,19,488800,,9,7,6,4,0.000,0,112,112,"130,101","38,325","91,776",3.39
1400000US17031804607,17031804607,"Census Tract 8046.07, Cook County, Illinois",Cook,Elk Grove,3,22.8,0.4,4,26.5,28.7,12,330600,,10,3,10,5,0.000,38,752,790,"79,673","38,325","41,348",2.08
1400000US17097860805,17097861701,"Census Tract 8617.01, Lake County, Illinois",Lake,Beach Park,1.8,22.9,0,0.3,34.4,13.6,5.5,192500,,6,1,7,1,0.00000000000,,,,"21,539","38,325","-16,786",0.56
1400000US17031806002,17031806002,"Census Tract 8060.02, Cook County, Illinois",Cook,Des Plaines,4.3,23.2,1.9,11.5,22.1,18.1,13,179700,,7,10,3,7,0.000,57,729,786,"45,038","38,325","6,713",1.18
1400000US17031805202,17031805202,"Census Tract 8052.02, Cook County, Illinois",Cook,Glenview,3.5,23.3,0.5,5.7,20.3,29,17,430800,,9,2,10,7,0.000,,,,"65,184","38,325","26,859",1.70
1400000US17043840201,17043840201,"Census Tract 8402.01, DuPage County, Illinois",DuPage,Wood Dale,4,23.4,1.8,2.8,23.3,33.9,12.7,364000,0,7,10,8,5,0.00000000000,8,205,213,"52,869","38,325","14,544",1.38
1400000US17043844701,17043844701,"Census Tract 8447.01, DuPage County, Illinois",DuPage,Downers Grove,7.9,23.4,3.1,7.5,30.1,20.2,7.6,293700,0,10,7,8,7,0.00000000000,41,946,987,"53,262","38,325","14,937",1.39
1400000US17031805702,17031805702,"Census Tract 8057.02, Cook County, Illinois",Cook,Park Ridge,1.1,23.5,4.7,8.4,19.8,33.4,18.5,454200,,10,5,10,8,0.000,15,571,586,"53,223","38,325","14,898",1.39
1400000US17197882900,17197882900,"Census Tract 8829, Will County, Illinois",Will,Joliet,9.2,23.8,2.2,4,41.4,3.5,3,153700,1,4,7,5,4,0,543,4190,4733,21661.5805959317,"38,325","-16,663",0.57
1400000US17043844501,17043844501,"Census Tract 8445.01, DuPage County, Illinois",DuPage,Oak Brook,4.5,24.1,1.8,1.3,30.7,23.7,11.6,328400,0,9,9,10,1,0.00000000000,3,609,612,"226,793","38,325","188,468",5.92
1400000US17031802900,17031802900,"Census Tract 8029, Cook County, Illinois",Cook,Prospect Heights,3.9,24.2,0,4.4,20.6,33.8,22.1,396900,,9,7,10,5,0.000,8,163,171,"34,511","38,325","-3,814",0.90
1400000US17043841110,17043841110,"Census Tract 8411.10, DuPage County, Illinois",DuPage,Bloomingdale,4.7,24.3,3,2.7,31.5,14.3,8,218700,0,10,9,6,1,0.00000000000,11,849,860,"48,254","38,325","9,929",1.26
1400000US17031071800,17031071800,"Census Tract 718, Cook County, Illinois",Cook,Chicago city,0.7,24.7,3.4,29.6,7,32.6,42.3,689800,,10,5,10,9,0.000,"30,550","120,154","150,704","30,152","38,325","-8,173",0.79
1400000US17097861402,17097863701,"Census Tract 8637.01, Lake County, Illinois",Lake,Green Oaks,4,24.7,1.3,2.3,12.2,32.9,22.6,473700,,10,7,7,4,0.00000000000,,,,"76,718","38,325","38,392",2.00
1400000US17043841604,17043841604,"Census Tract 8416.04, DuPage County, Illinois",DuPage,Aurora,3.4,24.8,2.3,3.3,16,24.2,13.1,225200,0,4,2,6,1,0.00000000000,634,"3,767","4,401","21,328","38,325","-16,997",0.56
1400000US17031841100,17031841100,"Census Tract 8411, Cook County, Illinois",Cook,Bloomingdale,7.2,25.1,11.4,24.4,26.6,15.8,4.8,241400,,9,4,9,4,0.000,11,849,860,"48,254","38,325","9,929",1.26
1400000US17031810502,17031810502,"Census Tract 8105.02, Cook County, Illinois",Cook,Harwood Heights village,3.9,25.2,2.5,8.2,31.2,15.5,4.5,309800,,9,10,5,6,0.000,1,157,158,"35,940","38,325","-2,385",0.94
1400000US17043846004,17043846004,"Census Tract 8460.04, DuPage County, Illinois",DuPage,Lisle,6,25.2,3.8,4.9,21.7,24.6,13.5,256400,0,9,9,5,7,0.00000000000,16,314,330,"51,480","38,325","13,155",1.34
1400000US17031811702,17031811702,"Census Tract 8117.02, Cook County, Illinois",Cook,Franklin Park,4.9,25.3,1.8,1.6,41,8.1,1.4,198800,,6,4,4,7,0.000,,,,"54,351","38,325","16,026",1.42
1400000US17043846106,17043846106,"Census Tract 8461.06, DuPage County, Illinois",DuPage,Naperville,9.1,25.3,1,6.1,12.2,26.2,33.2,426600,0,10,8,10,6,0.00000000000,,,,"49,428","38,325","11,103",1.29
1400000US17043846307,17043846307,"Census Tract 8463.07, DuPage County, Illinois",DuPage,Downers Grove,6.9,25.3,1.8,2.5,20,25.7,12.3,265300,0,8,2,9,6,0.00000000000,41,946,987,"53,275","38,325","14,950",1.39
1400000US17197883100,17197883100,"Census Tract 8831, Will County, Illinois",Will,Joliet,7.2,25.3,0.2,2.4,40.3,5.9,1.3,136100,1,2,5,3,1,0,543,4190,4733,21661.5805959317,"38,325","-16,663",0.57
1400000US17031804609,17031804609,"Census Tract 8046.09, Cook County, Illinois",Cook,Elk Grove,2.8,25.4,0.9,1.6,20.9,39.4,17.7,324900,,10,3,10,5,0.000,38,752,790,"79,673","38,325","41,348",2.08
1400000US17031804510,17031804510,"Census Tract 8045.10, Cook County, Illinois",Cook,Streamwood,7,25.5,0.9,2.7,30.4,7.1,2.1,226500,,4,7,8,7,0.000,35,698,733,"25,141","38,325","-13,184",0.66
1400000US17031822900,17031822900,"Census Tract 8229, Cook County, Illinois",Cook,Oak Lawn,6,25.8,0,6.9,34.8,10.8,6.8,208500,,6,4,7,3,0.000,89,"1,117","1,206","25,315","38,325","-13,010",0.66
1400000US17043844401,17043844401,"Census Tract 8444.01, DuPage County, Illinois",DuPage,Downers Grove,3.5,25.8,0.5,6.1,14.4,32.1,27,409600,0,9,10,9,2,0.00000000000,41,946,987,"53,260","38,325","14,935",1.39
1400000US17031280100,17031280100,"Census Tract 2801, Cook County, Illinois",Cook,Chicago city,3.9,26.1,32.6,23.6,4.7,41,40.2,389900,,3,10,8,10,0.000,"30,550","120,379","150,929","30,377","38,325","-7,948",0.79
1400000US17031411000,17031411000,"Census Tract 4110, Cook County, Illinois",Cook,Chicago city,2.4,26.1,25,30.9,9.5,25.9,49,179000,,7,6,4,9,0.000,"30,550","120,460","151,010","30,458","38,325","-7,867",0.79
1400000US17031805301,17031805301,"Census Tract 8053.01, Cook County, Illinois",Cook,Morton Grove,5.3,26.1,1.7,4,29.8,20.6,14.5,385700,,9,2,5,5,0.000,11,396,407,"45,350","38,325","7,025",1.18
1400000US17097861901,17097864510,"Census Tract 8645.10, Lake County, Illinois",Lake,Indian Creek,6.7,26.1,1.6,1.2,18.1,30.9,17.4,192000,,8,8,5,6,0.00000000000,,,,"60,326","38,325","22,001",1.57
1400000US17043840104,17043840104,"Census Tract 8401.04, DuPage County, Illinois",DuPage,Wood Dale,4.9,26.2,1.9,2,31.5,13.7,3.7,258800,0,7,6,3,5,0.00000000000,8,205,213,"52,869","38,325","14,544",1.38
1400000US17031804106,17031804106,"Census Tract 8041.06, Cook County, Illinois",Cook,Palatine,5.1,26.3,2.3,5.6,18.6,34.9,22,365200,,10,5,8,4,0.000,34,893,927,"33,981","38,325","-4,344",0.89
1400000US17043842703,17043842703,"Census Tract 8427.03, DuPage County, Illinois",DuPage,Wheaton,6.2,26.3,0.9,4.6,14.3,30.2,24.4,307400,0,9,6,10,5,0.00000000000,24,786,810,"42,355","38,325","4,030",1.11
1400000US17043842706,17043842706,"Census Tract 8427.06, DuPage County, Illinois",DuPage,Glen Ellyn,3.1,26.3,0.4,4.8,10.2,37.7,21.5,380600,0,10,7,10,3,0.00000000000,10,389,399,"53,919","38,325","15,593",1.41
1400000US17031803007,17031803007,"Census Tract 8030.07, Cook County, Illinois",Cook,Arlington Heights ,4.6,26.4,1.3,1.6,15.9,34.5,23.7,356700,,10,5,8,2,0.000,41,"1,154","1,195","48,269","38,325","9,944",1.26
1400000US17043845506,17043845506,"Census Tract 8455.06, DuPage County, Illinois",DuPage,Darien,1.4,26.4,0,2.9,20.1,26.2,8.9,192300,0,9,5,10,1,0.00000000000,12,277,289,"46,161","38,325","7,836",1.20
